CareerArea_id,paired_CareerArea_id,SimScore,rank
9,6,18%,17
9,19,18%,18
9,23,18%,19
9,24,17%,20
9,7,17%,21
9,18,16%,22
9,1,16%,23
9,10,16%,24
9,15,14%,25
10,10,100%,1
10,25,43%,2
10,18,42%,3
10,15,40%,4
10,6,39%,5
10,17,37%,6
10,23,36%,7
10,3,31%,8
10,1,29%,9
10,16,27%,10
10,8,27%,11
10,19,27%,12
10,26,26%,13
10,11,25%,14
10,2,24%,15
10,12,24%,16
10,14,21%,17
10,24,21%,18
10,13,18%,19
10,4,16%,20
10,9,16%,21
10,21,14%,22
10,22,12%,23
10,5,11%,24
10,7,11%,25
11,11,100%,1
11,14,41%,2
11,4,40%,3
11,3,37%,4
11,19,36%,5
11,24,33%,6
11,23,33%,7
11,15,31%,8
11,7,30%,9
11,1,28%,10
11,18,28%,11
11,16,26%,12
11,13,26%,13
11,17,26%,14
11,26,26%,15
11,25,25%,16
11,10,25%,17
11,6,25%,18
11,9,25%,19
11,5,21%,20
11,12,21%,21
11,2,17%,22
11,8,16%,23
11,22,15%,24
11,21,5%,25
12,12,100%,1
12,5,35%,2
12,9,33%,3
12,13,31%,4
12,25,31%,5
12,26,30%,6
12,22,29%,7
12,16,28%,8
12,23,27%,9
12,18,27%,10
12,7,27%,11
12,14,26%,12
12,17,26%,13
12,1,26%,14
12,3,26%,15
12,10,24%,16
12,4,24%,17
12,2,23%,18
12,24,22%,19
12,11,21%,20
12,6,19%,21
12,8,18%,22
12,15,17%,23
12,19,16%,24
12,21,11%,25
13,13,100%,1
13,26,36%,2
13,24,35%,3
13,7,33%,4
13,17,31%,5
13,12,31%,6
13,22,30%,7
13,4,29%,8
13,3,28%,9
13,9,28%,10
13,5,27%,11
13,2,27%,12
13,1,27%,13
13,11,26%,14
13,16,26%,15
13,6,24%,16
13,18,24%,17
13,8,21%,18
13,14,20%,19
13,19,20%,20
13,25,19%,21
13,10,18%,22
13,15,16%,23
13,21,16%,24
13,23,12%,25
14,14,100%,1
14,11,41%,2
14,19,34%,3
14,3,33%,4
14,4,32%,5
14,15,32%,6
14,9,31%,7
14,23,30%,8
14,24,27%,9
14,1,27%,10
14,12,26%,11
14,17,26%,12
14,7,25%,13
14,16,25%,14
14,5,25%,15
14,8,23%,16
14,18,22%,17
14,10,21%,18
14,25,21%,19
14,13,20%,20
14,26,20%,21
14,6,18%,22
14,22,18%,23
14,2,13%,24
14,21,12%,25
15,15,100%,1
15,10,40%,2
15,19,39%,3
15,23,38%,4
15,14,32%,5
15,8,31%,6
15,11,31%,7
15,3,27%,8
15,17,26%,9
15,25,26%,10
15,24,24%,11
15,1,24%,12
15,4,24%,13
15,18,23%,14
15,6,23%,15
15,26,19%,16
15,2,18%,17
15,16,17%,18
15,12,17%,19
15,13,16%,20
15,7,15%,21
15,9,14%,22
15,5,13%,23
15,22,10%,24
15,21,8%,25
16,16,100%,1
16,25,33%,2
16,4,33%,3
16,26,30%,4
16,2,29%,5
16,9,29%,6
16,17,29%,7
16,5,28%,8
16,12,28%,9
16,10,27%,10
16,18,27%,11
16,11,26%,12
16,6,26%,13
16,13,26%,14
16,3,26%,15
16,23,25%,16
16,14,25%,17
16,1,21%,18
16,22,18%,19
16,15,17%,20
16,24,16%,21
16,8,16%,22
16,7,16%,23
16,21,12%,24
16,19,11%,25
17,17,100%,1
17,26,40%,2
17,6,39%,3
17,10,37%,4
17,18,37%,5
17,24,33%,6
17,13,31%,7
17,3,31%,8
17,16,29%,9
17,4,29%,10
17,1,28%,11
17,7,28%,12
17,2,27%,13
17,11,26%,14
17,14,26%,15
17,15,26%,16
17,12,26%,17
17,25,25%,18
17,9,22%,19
17,23,21%,20
17,22,21%,21
17,8,20%,22
17,5,19%,23
17,19,15%,24
17,21,13%,25
18,18,100%,1
18,10,42%,2
18,6,40%,3
18,17,37%,4
18,3,35%,5
18,25,31%,6
18,26,31%,7
18,11,28%,8
18,16,27%,9
18,12,27%,10
18,4,25%,11
18,1,24%,12
18,2,24%,13
18,13,24%,14
18,15,23%,15
18,14,22%,16
18,23,22%,17
18,7,22%,18
18,24,20%,19
18,22,20%,20
18,21,19%,21
18,8,17%,22
18,9,16%,23
18,19,16%,24
18,5,14%,25
19,19,100%,1
19,15,39%,2
19,24,39%,3
19,11,36%,4
19,14,34%,5
19,3,34%,6
19,23,32%,7
19,8,30%,8
19,10,27%,9
19,1,26%,10
19,25,23%,11
19,4,22%,12
19,13,20%,13
19,7,18%,14
19,9,18%,15
19,18,16%,16
19,12,16%,17
19,6,15%,18
19,17,15%,19
19,5,15%,20
19,22,15%,21
19,26,14%,22
19,16,11%,23
19,2,9%,24
19,21,7%,25
21,21,100%,1
21,8,29%,2
21,9,28%,3
21,5,21%,4
21,18,19%,5
21,13,16%,6
21,6,16%,7
21,22,15%,8
21,24,15%,9
21,10,14%,10
21,2,13%,11
21,17,13%,12
21,26,12%,13
21,14,12%,14
21,16,12%,15
21,25,12%,16
21,12,11%,17
21,23,11%,18
21,1,11%,19
21,7,9%,20
21,15,8%,21
21,3,8%,22
21,19,7%,23
21,4,6%,24
21,11,5%,25
22,22,100%,1
22,13,30%,2
22,12,29%,3
22,24,25%,4
22,26,25%,5
22,7,22%,6
22,1,21%,7
22,5,21%,8
22,17,21%,9
22,8,20%,10
22,18,20%,11
22,9,20%,12
22,2,19%,13
22,14,18%,14
22,16,18%,15
22,6,18%,16
22,4,18%,17
22,21,15%,18
22,11,15%,19
22,19,15%,20
22,25,14%,21
22,10,12%,22
22,3,12%,23
22,23,12%,24
22,15,10%,25
23,23,100%,1
23,25,46%,2
23,15,38%,3
23,1,37%,4
23,10,36%,5
23,11,33%,6
23,19,32%,7
23,14,30%,8
23,3,27%,9
23,12,27%,10
23,16,25%,11
23,4,22%,12
23,6,22%,13
23,24,22%,14
23,18,22%,15
23,17,21%,16
23,26,19%,17
23,5,18%,18
23,9,18%,19
23,2,16%,20
23,8,15%,21
23,7,13%,22
23,13,12%,23
23,22,12%,24
23,21,11%,25
24,24,100%,1
24,19,39%,2
24,13,35%,3
24,26,34%,4
24,11,33%,5
24,17,33%,6
24,4,31%,7
24,7,30%,8
24,3,30%,9
24,14,27%,10
24,1,27%,11
24,8,26%,12
24,22,25%,13
24,15,24%,14
24,6,24%,15
24,23,22%,16
24,12,22%,17
24,10,21%,18
24,2,21%,19
24,18,20%,20
24,5,20%,21
24,9,17%,22
24,16,16%,23
24,21,15%,24
24,25,14%,25
25,25,100%,1
25,23,46%,2
25,10,43%,3
25,1,37%,4
25,2,33%,5
25,16,33%,6
25,18,31%,7
25,12,31%,8
25,3,30%,9
25,15,26%,10
25,11,25%,11
25,17,25%,12
25,9,24%,13
25,19,23%,14
25,4,22%,15
25,26,21%,16
25,14,21%,17
25,5,21%,18
25,8,21%,19
25,6,20%,20
25,13,19%,21
25,22,14%,22
25,24,14%,23
25,21,12%,24
25,7,10%,25
26,26,100%,1
26,17,40%,2
26,13,36%,3
26,24,34%,4
26,4,32%,5
26,2,31%,6
26,18,31%,7
26,16,30%,8
26,12,30%,9
26,6,29%,10
26,1,27%,11
26,7,27%,12
26,10,26%,13
26,3,26%,14
26,11,26%,15
26,22,25%,16
26,5,23%,17
26,9,21%,18
26,25,21%,19
26,14,20%,20
26,15,19%,21
26,23,19%,22
26,8,19%,23
26,19,14%,24
26,21,12%,25
