id_number,channel,group_name,prov,city,comp_rate,quiz
akarim,Care,Windsor,,,0.824,84.53
akhan6,Care,Windsor,,,1,
akilly,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.853,81.4
akpando,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.5,80
akumar2,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.971,88.26
akyle,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.952,86.8
alalonde,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.905,89.59
alansbergen,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.857,93.71
alncrendon,Dealer-retail,DEALED02,Alberta,,0.75,97.07
alndjoshi,Dealer-retail,DEALED02,Alberta,,0.829,91.41
alngsingh,Dealer-retail,DEALED02,Alberta,,0.857,98.98
alnmsingh,Dealer-retail,DEALED02,Alberta,,0.946,94.51
alokanathan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.857,99.26
along,Care,Windsor,,,0.955,98.18
amabatog,Dealer-retail,DEALON06,Ontario,,0.9,87.2
amadeep,Dealer-retail,DEALON06,Ontario,,0.889,86.85
amadhaliwal,Dealer-retail,DEALON06,Ontario,,0.8,95
amahamed,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.961,92.36
amahamid,Dealer-retail,DEALON06,Ontario,,0.949,88.05
amajeed,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.947,76.56
amajidi,Care,Windsor,,,0.9,79.53
amalandruccolo,Care,Windsor,,,0.95,100
amamahajan,Dealer-retail,DEALON06,Ontario,,1,96.34
amamudhalwadkar,Dealer-retail,DEALON06,Ontario,,0.688,84.43
amanhas,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.667,100
amartial,Care,Windsor,,,1,94.33
amatewari,Dealer-retail,DEALON06,Ontario,,0.769,92.36
ambsingh1,Dealer-retail,DEALON06,Ontario,,0.9,94.11
amcintosh,Care,Windsor,,,1,91.33
amdgulati,Dealer-retail,DEALON06,Ontario,,0.833,65.9
amdmetneja,Dealer-retail,DEALON06,Ontario,,0.979,88.73
amekhalid,Dealer-retail,DEALON06,Ontario,,0.75,84
ameloche,Care,Windsor,,,1,100
amgsharma,Dealer-retail,DEALON06,Ontario,,1,95
amhbajwa,Dealer-retail,DEALON06,Ontario,,0,80
amhdhaliwal,Dealer-retail,DEALON06,Ontario,,0.714,81.67
amhkaler,Dealer-retail,DEALON06,Ontario,,1,95.63
amhkaur,Dealer-retail,DEALON06,Ontario,,0.6,81.66
amhsharma,Dealer-retail,DEALON06,Ontario,,1,98.66
amikamal,Dealer-retail,DEALON06,Ontario,,0.5,76.65
amisukrut,Dealer-retail,DEALON06,Ontario,,0.5,82.3
amkjagbir,Dealer-retail,DEALON06,Ontario,,1,100
amlakbar,Dealer-retail,DEALON06,Ontario,,0.583,79.36
ammchhabra,Dealer-retail,DEALON06,Ontario,,0.8,93.34
ammdave,Dealer-retail,DEALON06,Ontario,,0.769,76.67
ammhamid,Dealer-retail,DEALON06,Ontario,,0.6,78.05
ammhamid1,Dealer-retail,DEALON06,Ontario,,1,85.93
ammsidhu,Dealer-retail,DEALON06,Ontario,,0,41.7
amnkaur,Dealer-retail,DEALON06,Ontario,,0.688,82.86
amnpatel,Dealer-retail,DEALON06,Ontario,,0.875,86.95
amnvaishnav,Dealer-retail,DEALON06,Ontario,,0.625,75.41
amohabir,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.941,98.75
amohajerin,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.944,96.66
amonnay,Care,Windsor,,,1,95.39
amorlando,Corp-retail,CORPON03-ON Central,Ontario,North York,0.824,93.85
amrkumar,Dealer-retail,DEALON06,Ontario,,1,94.63
amrsarkar,Dealer-retail,DEALON06,Ontario,,0.8,92.57
amrsidhu1,Dealer-retail,DEALON06,Ontario,,0.714,93.81
amrtapaswi,Dealer-retail,DEALON06,Ontario,,0.714,92.03
amsadhvaryu,Dealer-retail,DEALON06,Ontario,,1,100
amsaku,Dealer-retail,DEALON06,Ontario,,0.82,82.56
amsaror,Dealer-retail,DEALON06,Ontario,,0.93,90.7
amsbhanot,Dealer-retail,DEALON06,Ontario,,0.8,97.23
amsjitkaur,Dealer-retail,DEALON06,Ontario,,0.667,80
amskhan,Dealer-retail,DEALON06,Ontario,,0.933,87.21
amsslaeman,Dealer-retail,DEALON06,Ontario,,0,
amsveera,Dealer-retail,DEALON06,Ontario,,0.889,95.08
amtbrar,Dealer-retail,DEALON06,Ontario,,0.667,79.86
amujitima,Care,Windsor,,,0.842,91.49
amvverma,Dealer-retail,DEALON06,Ontario,,0.9,94.59
anachohan,Dealer-retail,DEALVA01,BC,,0.8,96
anantais,Care,Windsor,,,1,88
ancferreira,Dealer-retail,DEALVA01,BC,,0.818,84
andmeston,Dealer-retail,DEALVA01,BC,,0.857,96.67
andnesbitt,Dealer-retail,DEALVA01,BC,,0.941,87.66
anelson,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0,100
anguyen,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,96.97
anhsteele,Dealer-retail,DEALVA01,BC,,0.773,74.44
anldeheer,Dealer-retail,DEALVA01,BC,,0.833,95.31
anplin,Dealer-retail,DEALVA01,BC,,0.818,87.64
ansnegrabee,Dealer-retail,DEALVA01,BC,,0.875,94.66
antchohan,Dealer-retail,DEALVA01,BC,,1,99.27
aosias,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.882,92.14
apamintuan,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.667,83.33
apeng,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.818,88.66
aphitsanoukan,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.88,92.79
aphougat,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.667,87.87
apineo,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.94,83.13
apodolsky,Care,Windsor,,,0.833,88.51
aporter,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,100
arampersad,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.909,96.21
aruxton,Care,Windsor,,,0.75,83.33
asharif,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.5,94
asheridan,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,0.875,87
asidhu,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.875,84.27
asukaj,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.873,81.6
atahir,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.953,90
atestman,Care,Windsor,,,0,
atudor,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.4,100
auddin2,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.925,76.79
awalizadeh,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.893,72.67
awalter,Care,Windsor,,,0.938,99.63
awickens,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.949,94.82
awitucki,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.667,100
awong2,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.8,91.08
awong3,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.846,94.16
awright,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.947,91.04
ayee,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.692,99.55
azina,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.7,89.51
azodwen,Dealer-retail,DEALVA01,BC,,1,97.5
azoelee,Dealer-retail,DEALVA01,BC,,0.667,88.63
azoeli,Dealer-retail,DEALVA01,BC,,0.667,83.33
azoghu,Dealer-retail,DEALVA01,BC,,0.6,95.71
azwaabuosba,Dealer-retail,DEALON05,Ontario,,0.951,91.05
azwafernandez,Dealer-retail,DEALON05,Ontario,,0.857,87.71
azwamunn1,Dealer-retail,DEALON05,Ontario,,0.938,89.27
azwaveerasingam,Dealer-retail,DEALON05,Ontario,,0.914,81.02
azwayasin,Dealer-retail,DEALON05,Ontario,,0.933,85.54
azwbparic,Dealer-retail,DEALON05,Ontario,,0.957,95.64
azwbpassey,Dealer-retail,DEALON05,Ontario,,0.846,80.27
azwbschneider,Dealer-retail,DEALON05,Ontario,,0.892,88.62
azwcmaas,Dealer-retail,DEALON05,Ontario,,0.981,93.82
azwcsabetti,Dealer-retail,DEALON05,Ontario,,0.909,90.89
azwfibrahim,Dealer-retail,DEALON05,Ontario,,0.973,84.92
azwgblue,Dealer-retail,DEALON05,Ontario,,0.896,91.71
azwhglolani,Dealer-retail,DEALON05,Ontario,,0.944,90.56
azwhyaghmaei,Dealer-retail,DEALON05,Ontario,,0.982,88.23
azwjbolivar,Dealer-retail,DEALON05,Ontario,,0.976,96.49
azwjfoladi,Dealer-retail,DEALON05,Ontario,,0.96,85.61
azwjkingston,Dealer-retail,DEALON05,Ontario,,0.929,88.77
azwjmariona,Dealer-retail,DEALON05,Ontario,,0.872,82.95
azwjplumb,Dealer-retail,DEALON05,Ontario,,0.922,85.75
azwkalvan,Dealer-retail,DEALON05,Ontario,,0.842,85.31
azwmbelance,Dealer-retail,DEALON05,Ontario,,1,90.59
azwmmouhammed,Dealer-retail,DEALON05,Ontario,,0.923,90.49
azwmprouse,Dealer-retail,DEALON05,Ontario,,0.902,75.56
azwnibrahim,Dealer-retail,DEALON05,Ontario,,0.961,93.71
azwoayoub,Dealer-retail,DEALON05,Ontario,,0.979,85.67
azwofazeli,Dealer-retail,DEALON05,Ontario,,0.943,88.13
azwrshannon1,Dealer-retail,DEALON05,Ontario,,0.95,100
azwtleindecker,Dealer-retail,DEALON05,Ontario,,0.892,90.1
azwuahmed,Dealer-retail,DEALON05,Ontario,,0.958,94.15
azwualhaj,Dealer-retail,DEALON05,Ontario,,1,84.28
azwwabdi,Dealer-retail,DEALON05,Ontario,,0.931,90.24
azwwel-aswad,Dealer-retail,DEALON05,Ontario,,0.955,88.01
azwwhammoud,Dealer-retail,DEALON05,Ontario,,0.93,90.97
baklilu,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,94.16
bansari,Corp-retail,CORPON03-ON Central,Ontario,North York,0.75,100
bassen,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.846,95.19
bberahmandzadeh,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.956,86.48
bberger,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.818,92.52
bboodoo,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.909,99.29
bcunningham,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.938,92.3
bdebdas,Dealer-retail,DEALVA01,BC,,0.364,85.37
bdutkoski,Corp-retail,CORPON03-ON Central,Ontario,North York,0.9,87.5
bgarland,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.963,88.85
bhalunga,Corp-retail,CORPON03-ON Central,Ontario,North York,0.929,88.27
bhanna,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.949,96.44
bhollingsworth,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.857,96.67
bjoseph,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.833,96.3
bkaantey,Care,Windsor,,,1,
bkahlon,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.91,85.8
bkeene,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.786,95.08
bklooster,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.976,92.6
bkojok,Care,Windsor,,,0.938,85.82
bkolar,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.964,93.57
blaktin,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.857,88.05
bma,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.939,84.94
bmcintyre,Care,Windsor,,,1,96.92
bmezemir,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.945,85.19
bnicholson,Dealer-retail,DEALON01,Ontario,,0,69.21
bpham,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.922,86.87
brai,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.854,75.33
braveendran,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.824,85.62
brichards,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,1,92.27
bsimon,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.976,94.29
btan,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,90.11
btesfaye,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.769,87.39
btobia,Care,Windsor,,,0.933,96.87
bvirk2,Care,Windsor,,,0.957,93.49
bvongphachanh,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.727,86.66
byee,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.947,95.28
cadamson,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.667,92.86
cau,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.762,94.45
cayeni,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.909,85.55
cazizi,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.933,85.44
cblair,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.909,86.55
cboivin,Care,Windsor,,,0.789,78.18
cbouchard,Care,Windsor,,,0.952,91.26
cc1adhanoa,Dealer-retail,DEALCA01,Alberta,,0.963,96.67
cc1aiqbal,Dealer-retail,DEALCA01,Alberta,,0.778,88.48
cc1avitug,Dealer-retail,DEALCA01,Alberta,,0.918,90.7
cc1dalam,Dealer-retail,DEALCA01,Alberta,,0.9,100
cc1ebhuiyan,Dealer-retail,DEALCA01,Alberta,,0.96,94.75
cc1fjohora,Dealer-retail,DEALCA01,Alberta,,0.937,91.65
cc1jforkheim,Dealer-retail,DEALCA01,Alberta,,0.951,90.88
cc1khossain,Dealer-retail,DEALCA01,Alberta,,1,95.39
cc1mhasan,Dealer-retail,DEALCA01,Alberta,,0.879,94.84
cc1mrahman,Dealer-retail,DEALCA01,Alberta,,0.727,89.55
cc1msakib,Dealer-retail,DEALCA01,Alberta,,0.917,97.69
cc1nchowdhury,Dealer-retail,DEALCA01,Alberta,,1,97.05
cc1nhossain,Dealer-retail,DEALCA01,Alberta,,0.833,95.64
cc1nsandhar,Dealer-retail,DEALCA01,Alberta,,0.902,92.22
cc1shaque,Dealer-retail,DEALCA01,Alberta,,0.929,98.44
cc1shorvath,Dealer-retail,DEALCA01,Alberta,,1,94.36
cc1siqbal,Dealer-retail,DEALCA01,Alberta,,0.909,97.78
cc1sjewel,Dealer-retail,DEALCA01,Alberta,,0.889,100
cc1snandi,Dealer-retail,DEALCA01,Alberta,,0.857,96.65
cc1vlakkanan,Dealer-retail,DEALCA01,Alberta,,0.862,83
CCarter,Care,Windsor,,,0.75,91.78
cchambers2,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.917,99.23
ccharitou,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,0.714,96.15
cchen2,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0,100
ccheung,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.7,91.39
CChilkoti,Care,Windsor,,,0.727,88.61
cciasun,Dealer-retail,DEALON01,Ontario,,0.917,98.24
cciatruong,Dealer-retail,DEALON01,Ontario,,0.889,91.89
ccicchen,Dealer-retail,DEALON01,Ontario,,0.8,91.29
cciclin,Dealer-retail,DEALON01,Ontario,,0.667,95
ccigtong,Dealer-retail,DEALON01,Ontario,,0.923,84.43
ccijzhang,Dealer-retail,DEALON01,Ontario,,1,93.89
ccijzhu,Dealer-retail,DEALON01,Ontario,,0.875,97.26
cciktam1,Dealer-retail,DEALON01,Ontario,,0.867,95.71
ccipshiu,Dealer-retail,DEALON01,Ontario,,1,
ccipshiu1,Dealer-retail,DEALON01,Ontario,,0.938,95.96
ccivchen,Dealer-retail,DEALON01,Ontario,,0.917,95.12
cclark,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.857,96.19
ccosta,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.907,86.51
ccushman,Care,Windsor,,,0.933,88.4
cdenommee,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.875,95.71
cefanaebkhil1,Dealer-retail,DEALVA01,BC,,0.867,94.85
ceffrahimi,Dealer-retail,DEALVA01,BC,,0.867,98.48
cefmshah,Dealer-retail,DEALVA01,BC,,0.875,98.33
cefskaur,Dealer-retail,DEALVA01,BC,,0.933,98.18
celaabbasi,Dealer-retail,DEALON04,Ontario,,0.9,95.26
celarahman,Dealer-retail,DEALON04,Ontario,,1,92.5
celbb1,Dealer-retail,DEALON04,Ontario,,0.8,89.03
celfmohmed,Dealer-retail,DEALON04,Ontario,,0.911,79.89
celiali,Dealer-retail,DEALON04,Ontario,,0.867,84.45
celmmahoon,Dealer-retail,DEALON04,Ontario,,0.957,95.99
celmsyed,Dealer-retail,DEALON04,Ontario,,0.909,96.48
celnsaqib,Dealer-retail,DEALON04,Ontario,,0.833,98.33
celrjain,Dealer-retail,DEALON04,Ontario,,0.909,88.79
celrrahman,Dealer-retail,DEALON04,Ontario,,0.895,89.63
celsmalik,Dealer-retail,DEALON04,Ontario,,0.909,97.78
celssavi,Dealer-retail,DEALON04,Ontario,,0.862,87.22
celssheth,Dealer-retail,DEALON04,Ontario,,0.769,94.02
celuraza,Dealer-retail,DEALON04,Ontario,,0.976,85
celwattique,Dealer-retail,DEALON04,Ontario,,0.947,89.54
cemery,Care,Windsor,,,1,92
cfernandes,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.93,90.59
cfernell,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.941,92.89
CGaudette,Care,Windsor,,,0.818,87.08
cgregory,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,99.17
chawke,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.818,78.9
cheasman,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.965,87.79
choltman,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.75,84.81
chunt,Care,Windsor,,,1,98.29
chuynh,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.889,100
ckilic,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0,80
cle,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.938,94.63
cltaoberoi,Dealer-retail,DEALON02,Ontario,,0.833,92.31
clthkalia,Dealer-retail,DEALON02,Ontario,,0.967,89.63
clthsingh,Dealer-retail,DEALON02,Ontario,,0.955,94.21
cltjrafique,Dealer-retail,DEALON02,Ontario,,1,100
cltjrafique1,Dealer-retail,DEALON02,Ontario,,0.909,88.88
cltkchoudhry,Dealer-retail,DEALON02,Ontario,,0.9,94.68
cltlsharma,Dealer-retail,DEALON02,Ontario,,0.833,94.36
cltmsarfaraz,Dealer-retail,DEALON02,Ontario,,0.926,83.12
cltpraina,Dealer-retail,DEALON02,Ontario,,0.944,85.24
cltsgupta,Dealer-retail,DEALON02,Ontario,,1,88.49
cltznathani,Dealer-retail,DEALON02,Ontario,,0.789,91.11
cmantha,Care,Windsor,,,1,98.57
cmaurice,Care,Windsor,,,1,97.32
cmickle,Care,Windsor,,,1,100
cmunoko,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.945,84.72
cng,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.6,98
comcsalloum,Dealer-retail,DEALON03,Ontario,,1,100
comgbacha,Dealer-retail,DEALON03,Ontario,,1,80
comlbashi,Dealer-retail,DEALON03,Ontario,,0.903,86.92
commhassanali,Dealer-retail,DEALON03,Ontario,,1,100
comnnasrallah,Dealer-retail,DEALON03,Ontario,,0.826,79.93
comnyouhana,Dealer-retail,DEALON03,Ontario,,1,100
comqabdulahad,Dealer-retail,DEALON03,Ontario,,1,100
comrboji,Dealer-retail,DEALON03,Ontario,,0.958,93.61
comwnukasha,Dealer-retail,DEALON03,Ontario,,0.889,84.66
comwnukasha1,Dealer-retail,DEALON03,Ontario,,0.889,79.56
cpoisson,Care,Windsor,,,0.95,93.33
cpolhill,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.909,91.41
cramdeen,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.952,90.91
craymond,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.948,92.56
cread,Care,Windsor,,,1,97.18
croddy,Care,Windsor,,,1,98.46
cscbbains,Dealer-retail,DEALVA01,BC,,1,97.27
cscdbains,Dealer-retail,DEALVA01,BC,,0.926,95.78
cscdveltchev,Dealer-retail,DEALVA01,BC,,1,80
cscjkaur,Dealer-retail,DEALVA01,BC,,0.959,94.59
cscksands,Dealer-retail,DEALVA01,BC,,0.875,93.98
cscmbains1,Dealer-retail,DEALVA01,BC,,1,98.66
cscmbains1cscmbains2,Dealer-retail,DEALVA01,BC,,0.952,95.07
cscruppal,Dealer-retail,DEALVA01,BC,,0.95,89.47
cscsbains,Dealer-retail,DEALVA01,BC,,0.92,95
cspagnuolo,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,1,100
ctaylor,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.913,92.29
ctaylor2,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.826,95.46
ctiatran,Dealer-retail,DEALVA01,BC,,0.909,93.55
ctiche,Dealer-retail,DEALVA01,BC,,0.909,93.81
ctidtrinh,Dealer-retail,DEALVA01,BC,,1,86.7
ctielin,Dealer-retail,DEALVA01,BC,,0.909,99.49
ctifalikhani,Dealer-retail,DEALVA01,BC,,0.917,97.05
ctighu,Dealer-retail,DEALVA01,BC,,1,95.57
ctijjong,Dealer-retail,DEALVA01,BC,,1,94.58
ctijliu,Dealer-retail,DEALVA01,BC,,1,95.31
ctikleon,Dealer-retail,DEALVA01,BC,,0.833,88.21
ctilkawi,Dealer-retail,DEALVA01,BC,,0.917,98.81
ctilzhuang,Dealer-retail,DEALVA01,BC,,0.909,96.84
ctirliu,Dealer-retail,DEALVA01,BC,,0.8,92.08
ctirwang,Dealer-retail,DEALVA01,BC,,0.909,96.75
ctisdost,Dealer-retail,DEALVA01,BC,,0.769,88.76
ctisjabarkhell,Dealer-retail,DEALVA01,BC,,0.917,98.89
ctiypeng,Dealer-retail,DEALVA01,BC,,1,100
ctsiavalias,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.938,82.22
cwaakhan,Dealer-retail,DEALON01,Ontario,,0.86,70.43
cwajsingh,Dealer-retail,DEALON01,Ontario,,0.808,92.86
cwamrehman,Dealer-retail,DEALON01,Ontario,,0.667,79.72
cwanchaudry,Dealer-retail,DEALON01,Ontario,,0.714,99.04
cwavbhatia,Dealer-retail,DEALON01,Ontario,,0.862,82
cxnaabbi,Dealer-retail,DEALON01,Ontario,,0.929,97.69
cxnakapila,Dealer-retail,DEALON01,Ontario,,0.929,98.57
cxnamatharoo,Dealer-retail,DEALON01,Ontario,,0.846,94.42
cxnavarandani,Dealer-retail,DEALON01,Ontario,,0.889,95.68
cxndshah,Dealer-retail,DEALON01,Ontario,,1,95.98
cxndtej,Dealer-retail,DEALON01,Ontario,,0.875,96.53
cxnjkaur,Dealer-retail,DEALON01,Ontario,,1,97.84
cxnjmalaviya,Dealer-retail,DEALON01,Ontario,,0.769,96.96
cxnkpatel,Dealer-retail,DEALON01,Ontario,,0.824,98.72
